iter	RMSE
0	37166.38037
1	36301.11573
2	35554.76594
3	34721.00205
4	33974.90546
5	33286.80507
6	32653.74225
7	32031.33907
8	31447.77802
9	30892.03807
10	30357.07309
11	29852.22575
12	29384.37753
13	28889.9197
14	28510.65988
15	28091.32839
16	27722.90116
17	27248.17897
18	26807.26152
19	26463.99188
20	26143.84064
21	25831.04242
22	25527.79159
23	25221.01036
24	24942.21081
25	24634.7833
26	24354.41306
27	24126.73162
28	23869.81794
29	23661.0526
30	23457.52562
31	23254.48181
32	23036.48946
33	22818.48997
34	22522.08037
35	22165.67974
36	21988.8176
37	21806.87498
38	21621.02007
39	21344.44833
40	21055.34975
41	20908.06678
42	20749.41916
43	20603.83338
44	20388.09842
45	20130.29198
46	20014.67139
47	19897.60162
48	19740.54255
49	19591.72563
50	19492.38697
51	19403.00774
52	19280.05525
53	19162.05693
54	18976.40567
55	18876.04101
56	18802.48149
57	18733.94482
58	18615.29194
59	18530.52692
60	18322.34124
61	18212.28031
62	18147.56249
63	17969.13767
64	17830.40105
65	17677.74997
66	17602.38656
67	17529.62957
68	17468.40949
69	17286.20847
70	17237.41409
71	17176.30103
72	17119.40816
73	16973.01985
74	16926.0588
75	16844.77318
76	16777.4245
77	16684.28113
78	16585.41798
79	16472.10535
80	16382.16024
81	16283.13802
82	16240.25279
83	16196.97762
84	16138.87696
85	16093.93153
86	16051.77976
87	15972.60905
88	15937.92648
89	15879.77742
90	15833.13039
91	15784.73409
92	15756.99484
93	15724.08108
94	15627.93034
95	15556.90031
96	15454.53187
97	15425.14792
98	15363.32737
99	15335.99031
100	15296.79397
101	15260.39333
102	15227.27596
103	15178.24502
104	15147.53141
105	15122.18641
106	15081.89787
107	14948.58441
108	14914.21654
109	14877.21528
110	14828.12241
111	14797.17271
112	14671.56859
113	14634.05988
114	14603.65632
115	14558.81489
116	14511.16204
117	14475.30514
118	14442.92206
119	14428.10517
120	14420.07949
121	14340.57169
122	14321.14338
123	14277.23519
124	14240.84536
125	14210.91265
126	14145.85967
127	14121.73283
128	14077.26195
129	14044.58059
130	14009.02077
131	13978.65706
132	13956.5879
133	13936.21869
134	13913.59651
135	13893.45951
136	13865.80248
137	13845.27822
138	13793.76973
139	13760.1106
140	13729.2344
141	13707.50924
142	13671.69738
143	13591.57029
144	13528.66054
145	13504.67102
146	13485.87334
147	13421.4452
148	13391.69104
149	13356.53838
150	13335.04863
151	13303.26369
152	13295.02686
153	13264.08213
154	13246.52275
155	13216.23203
156	13196.29015
157	13175.26584
158	13136.99926
159	13122.77264
160	13079.89702
161	13057.68702
162	13043.31636
163	13025.15781
164	12985.90503
165	12948.11644
166	12908.58273
167	12891.17335
168	12868.95543
169	12846.75322
170	12823.74027
171	12812.79611
172	12775.46322
173	12749.65022
174	12724.53157
175	12703.83623
176	12684.25702
177	12661.85432
178	12647.72598
179	12631.26065
180	12619.72867
181	12592.46714
182	12578.63543
183	12564.25244
184	12552.49405
185	12534.83313
186	12505.52155
187	12483.63386
188	12464.19389
189	12394.2121
190	12363.04073
191	12316.55904
192	12299.758
193	12281.7262
194	12271.95229
195	12257.01015
196	12208.83732
197	12191.45881
198	12180.41022
199	12150.54707
200	12102.67978
201	12079.77838
202	12056.31186
203	12034.68516
204	12010.89986
205	11985.28406
206	11976.08245
207	11964.07269
208	11933.91427
209	11922.26269
210	11909.80755
211	11898.23121
212	11869.11749
213	11844.13759
214	11814.12566
215	11795.45028
216	11780.36677
217	11764.88099
218	11740.28094
219	11730.46104
220	11717.79858
221	11693.48421
222	11675.05744
223	11650.94925
224	11629.67945
225	11606.79663
226	11584.29094
227	11571.90907
228	11562.43266
229	11554.08347
230	11519.98753
231	11504.21971
232	11494.40112
233	11484.8201
234	11461.82847
235	11453.45183
236	11432.54765
237	11414.48911
238	11393.44037
239	11364.31007
240	11344.97652
241	11305.86067
242	11281.49848
243	11257.11505
244	11237.80808
245	11202.54931
246	11182.12428
247	11151.47484
248	11139.8953
249	11126.84799
250	11115.16201
251	11098.04623
252	11077.71244
253	11065.31669
254	11044.98501
255	11029.42504
256	11013.29193
257	11001.07321
258	10988.55714
259	10974.86795
260	10963.83381
261	10945.72887
262	10925.16502
263	10912.53252
264	10902.23593
265	10885.62594
266	10869.71996
267	10844.14099
268	10811.5264
269	10787.18494
270	10773.28075
271	10751.88647
272	10729.12767
273	10711.35388
274	10698.00251
275	10684.73972
276	10668.51128
277	10655.03449
278	10639.16825
279	10626.95185
280	10609.56239
281	10595.62156
282	10583.32514
283	10566.13478
284	10545.68946
285	10529.77996
286	10514.24581
287	10507.09056
288	10496.67639
289	10480.96935
290	10465.27832
