iter	Passed	Remaining
0	9	18005
1	12	12707
2	15	10462
3	19	9762
4	22	8957
5	25	8392
6	28	8057
7	31	7780
8	34	7570
9	35	7138
10	39	7125
11	42	7028
12	45	6933
13	48	6846
14	51	6765
15	53	6690
16	56	6617
17	59	6557
18	62	6506
19	65	6454
20	68	6424
21	71	6383
22	73	6343
23	76	6314
24	79	6294
25	82	6274
26	85	6243
27	88	6216
28	91	6197
29	94	6174
30	97	6163
31	99	6144
32	102	6125
33	105	6105
34	108	6092
35	111	6083
36	114	6073
37	117	6058
38	120	6041
39	123	6029
40	125	6014
41	128	6001
42	131	5984
43	134	5982
44	137	5978
45	140	5980
46	144	5998
47	147	5994
48	150	5990
49	153	5987
50	156	5977
51	159	5970
52	162	5965
53	165	5958
54	168	5950
55	171	5944
56	174	5934
57	176	5923
58	179	5914
59	182	5905
60	185	5901
61	188	5893
62	191	5886
63	194	5882
64	197	5875
65	200	5870
66	203	5862
67	206	5855
68	208	5845
69	211	5838
70	214	5831
71	217	5821
72	220	5815
73	223	5809
74	226	5801
75	228	5794
76	231	5786
77	234	5780
78	237	5775
79	240	5769
80	243	5763
81	246	5757
82	249	5751
83	251	5743
84	254	5736
85	258	5747
86	261	5741
87	264	5736
88	266	5727
89	269	5724
90	272	5717
91	275	5712
92	278	5707
93	281	5700
94	283	5693
95	286	5688
96	289	5684
97	292	5679
98	295	5673
99	298	5670
100	301	5664
101	304	5657
102	306	5653
103	309	5649
104	312	5646
105	315	5641
106	318	5637
107	321	5633
108	324	5627
109	327	5623
110	330	5618
111	332	5613
112	335	5608
113	338	5601
114	341	5596
115	344	5590
116	347	5586
117	349	5581
118	352	5575
119	355	5570
120	356	5528
121	358	5524
122	361	5518
123	364	5513
124	367	5507
125	369	5501
126	372	5499
127	375	5495
128	378	5491
129	381	5486
130	384	5480
131	387	5476
132	389	5472
133	392	5468
134	395	5464
135	398	5458
136	401	5454
137	403	5451
138	406	5446
139	409	5441
140	412	5437
141	415	5432
142	417	5427
143	420	5423
144	423	5419
145	426	5415
146	429	5410
147	432	5407
148	434	5403
149	437	5399
150	440	5395
151	443	5390
152	446	5385
153	448	5381
154	451	5376
155	454	5374
156	457	5369
157	460	5374
158	463	5370
159	466	5368
160	469	5365
161	472	5360
162	475	5356
163	478	5353
164	481	5350
165	483	5346
166	486	5342
167	489	5337
168	492	5333
169	495	5329
170	497	5325
171	500	5320
172	503	5317
173	506	5313
174	509	5308
175	511	5304
176	514	5300
177	517	5296
178	520	5293
179	523	5289
180	525	5285
181	528	5281
182	531	5278
183	534	5274
184	537	5270
185	539	5265
186	542	5261
187	545	5258
188	548	5254
189	551	5250
190	554	5247
191	556	5243
192	559	5239
193	562	5235
194	565	5231
195	567	5227
196	570	5223
197	573	5219
198	576	5215
199	579	5211
200	581	5207
201	584	5205
202	587	5201
203	590	5197
204	593	5194
205	595	5190
206	598	5187
207	601	5184
208	604	5180
209	607	5176
210	610	5172
211	612	5169
212	615	5165
213	618	5161
214	621	5158
215	624	5154
216	627	5152
217	629	5149
218	632	5145
219	635	5141
220	638	5138
221	641	5134
222	643	5131
223	646	5127
224	649	5123
225	652	5120
226	656	5124
227	658	5121
228	662	5120
229	664	5117
230	667	5115
231	670	5111
232	673	5110
233	676	5108
234	679	5104
235	682	5102
236	685	5099
237	688	5096
238	691	5093
239	694	5090
240	697	5087
241	699	5084
242	703	5087
243	706	5084
244	709	5082
245	712	5078
246	715	5075
247	717	5072
248	720	5069
249	723	5065
250	726	5062
